type,name,label::English,required,default,relevant,appearance,constraint,constraint_message::English,label::Arabic (ar),constraint_message::Arabic (ar),choice_filter,calculation,hint::English (en),hint::Arabic (ar),repeat_count
start,start,,,,,,,,,,,,,,
end,end,,,,,,,,,,,,,,
today,today,,,,,,,,,,,,,,
deviceid,device_id,,,,,,,,,,,,,,
select_one organisation_name,organisation_name,Please select your organisation:,yes,,,quick,,,íÑÌì ÇÎÊíÇÑ ãäÙãÊß:,,,,,,
select_one enumerator_id,enumerator_id,Name of enumerator or ID,yes,,,quick,,,ãÚÈÆ ÇáÇÓÊÈíÇä/ ÇáãÚÑİ,,organisation = ${organisation_name},,,,
calculate,pull_name,,,,,,,,,,,"pulldata('unique_identifier', 'name', 'name_key', ${enumerator_id})",,,
note,enumerator_name,"The holder of this id is ${pull_name}, if this is not your name please go back and select the appropriate id",,,,,,,"ÕÇÍÈ åĞÇ ÇáãÚÑİ åæ ${pull_name}  ÅĞÇ áã íßä åĞÇ ÇÓãß ¡ íÑÌì ÇáÑÌæÚ æÊÍÏíÏ ÇáåæíÉ ÇáãäÇÓÈÉ",,,,,,
select_one Mantika,Mantika,Mantika (Admin 2):,yes,,,quick,,,ãäØŞÉ,,,,,,
select_one Baladiya,Baladiya,Baladiya (Admin 3):,yes,,,quick,,,ÈáÏíÉ,,Mantika=${Mantika},,,,
select_one area_code,area_code,Please select the area code you are currently doing the survey,yes,,,quick,,,íÑÌì ÊÍÏíÏ ÑãÒ ÇáãäØŞÉ ÇáÊí ÊÌÑí İíåÇ ÇáãÓÍ,,Mantika=${Mantika},,,,
select_one point_code,point_code,Please select the the point code you are interviewing,yes,,,quick,,,ãÇåæ ÇáãÚÑİ ááãæŞÚ ÇáĞí ÇäÊ İíå ÇáÇä¿,,area_code=${area_code},,Look in the app My Maps (id_XXX),ÇäÙÑ Çáì ÊØÈíŞ  My Maps (id_XXX) ,
geopoint,geolocation,Please take the GPS coordinates of the survey location,yes,,,,,,ÇÎĞ ÅÍÏÇËíÇÊ GPS,,,,,,
